"income","age","education","petition_signed","g"
10,55,7,1,0.389349673026879
9,50,6,0,0.299659318895199
1,77,1,0,0.0207488655279506
3,64,5,0,0.126331529352486
5,84,5,0,0.112358641781273
7,41,5,0,0.219285179041593
10,66,6,0,0.268147188817874
10,46,6,0,0.329870991223619
7,50,7,0,0.349890780374298
9,65,6,0,0.255331441900116
9,65,5,0,0.188165844725351
7,39,5,0,0.224382136552509
1,40,5,0,0.14910273171965
4,58,6,0,0.202213621219516
10,70,6,0,0.256717805382908
6,52,3,1,0.0914110603230487
6,22,5,0,0.255322658138884
2,51,1,0,0.03263021165029
4,31,5,1,0.203349345014968
5,49,3,0,0.0883997681290839
7,75,3,0,0.0720916215946847
3,76,3,0,0.0524436378801478
7,58,3,0,0.0907912658061785
8,48,3,0,0.1115230804943
5,93,6,0,0.140861872554958
4,83,3,0,0.051348954862828
4,38,6,0,0.254028406438335
3,43,5,0,0.164687958912486
9,56,6,1,0.281404978538693
2,59,3,0,0.0615568606246741
2,73,2,0,0.0348056788873994
11,59,5,0,0.229489558442038
1,52,4,0,0.0902639525430857
2,67,3,0,0.0550770192954068
1,54,3,0,0.0611377424969454
4,44,1,0,0.0421360607074294
9,68,5,0,0.181493192732707
4,62,5,0,0.139054322540964
9,67,6,1,0.24975783834291
9,19,5,0,0.313708043606075
7,41,3,0,0.113746770825514
1,77,3,0,0.0443149901237192
7,48,5,0,0.20210606561992
8,36,6,1,0.326661114868121
8,59,5,0,0.189311966516791
3,63,3,0,0.0628425572518929
9,35,5,0,0.265210504236727
2,28,5,0,0.18491534184996
6,83,6,0,0.170878288977453
10,40,7,0,0.443099909903418
8,57,6,0,0.262432448297375
1,78,3,0,0.0436939181074418
9,60,5,0,0.199702678561545
3,30,3,0,0.0984101802399893
3,56,5,0,0.139952874003654
2,72,3,0,0.0513590334427641
5,59,7,0,0.286062067957514
6,36,5,0,0.218041664136298
4,26,3,1,0.11156408500613
2,74,2,1,0.0343130942776132
1,48,1,0,0.0314881894756974
3,49,2,0,0.0527938504420966
1,58,3,0,0.0578345613393154
9,68,7,0,0.326716782870995
4,81,5,0,0.108739874271371
2,48,3,0,0.0716337604596354
4,48,5,0,0.16569166720337
6,54,6,1,0.240257736739284
2,19,1,0,0.0513243044084946
1,57,4,0,0.0843827826395665
8,52,3,0,0.105804436077545
7,36,6,0,0.309080281571157
1,21,5,0,0.188292289562205
9,47,6,0,0.309036103915282
7,50,5,0,0.197386345978458
1,76,1,0,0.0210509724196573
1,74,1,0,0.0216681530446917
9,50,6,0,0.299659318895199
2,78,3,0,0.0472107555737044
1,54,5,1,0.124733581868454
5,64,6,0,0.201008757825913
7,73,5,0,0.149024007142729
4,66,3,0,0.0650453757261866
1,59,2,0,0.0392805226062157
2,62,2,0,0.0406932848129495
3,61,3,0,0.0646041407089063
7,63,6,1,0.230934233038637
